RCheekLowX,RCheekLowY,RCheekLowZ,RCheekUpX,RCheekUpY,RCheekUpZ,RBrowOutX,RBrowOutY,RBrowOutZ,RBrowInX,RBrowInY,RBrowInZ,LBrowInX,LBrowInY,LBrowInZ,LBrowOutX,LBrowOutY,LBrowOutZ,LCheekUpX,LCheekUpY,LCheekUpZ,LCheekLowX,LCheekLowY,LCheekLowZ,RLipLowX,RLipLowY,RLipLowZ,RLipUpX,RLipUpY,RLipUpZ,CLipLowX,CLipLowY,CLipLowZ,CLipUpX,CLipUpY,CLipUpZ,LLipLowX,LLipLowY,LLipLowZ,LLipUpX,LLipUpY,LLipUpZ
-0.239114,0.226595,0.186684,-0.231864,0.256232,0.176502,-0.232071,0.321104,0.16989400000000002,-0.200451,0.31685100000000005,0.156694,-0.173965,0.31611300000000003,0.156903,-0.142904,0.319254,0.173933,-0.14633800000000002,0.25845100000000004,0.176374,-0.136889,0.23130100000000003,0.189079,-0.20998699999999998,0.21502800000000002,0.168396,-0.211696,0.236208,0.16508499999999998,-0.18516300000000002,0.21397199999999997,0.162501,-0.18948800000000002,0.238975,0.158127,-0.166464,0.2171,0.169254,-0.165756,0.235395,0.165431
-0.239118,0.226617,0.186677,-0.231929,0.256261,0.176478,-0.23212199999999997,0.321141,0.169942,-0.200472,0.316913,0.156694,-0.174011,0.316196,0.156911,-0.142942,0.31932,0.173955,-0.146387,0.258522,0.17637,-0.136899,0.23136199999999998,0.18906900000000001,-0.209988,0.215056,0.16839300000000001,-0.211689,0.23625300000000002,0.165089,-0.185174,0.21401399999999998,0.16250699999999998,-0.189477,0.23904699999999998,0.158065,-0.166473,0.217148,0.169256,-0.165723,0.235467,0.165259
-0.23913099999999998,0.22664,0.18666300000000002,-0.231936,0.256294,0.176505,-0.232206,0.321175,0.169942,-0.200506,0.31695500000000004,0.15675899999999998,-0.174069,0.316249,0.156905,-0.142991,0.319389,0.173998,-0.14640799999999998,0.25856799999999996,0.176371,-0.13691099999999998,0.231417,0.189045,-0.209998,0.215088,0.168379,-0.211694,0.23628400000000002,0.165088,-0.185225,0.214038,0.162487,-0.189487,0.23908600000000002,0.158064,-0.166487,0.217189,0.169231,-0.165749,0.235527,0.16523
-0.23914899999999997,0.226677,0.186638,-0.232021,0.25633,0.176531,-0.232242,0.321204,0.169973,-0.200534,0.316992,0.156776,-0.17410499999999998,0.316293,0.156867,-0.143043,0.319443,0.174008,-0.146427,0.258604,0.176369,-0.136926,0.231469,0.189019,-0.21001,0.215115,0.16836199999999998,-0.21173499999999998,0.236314,0.16509300000000002,-0.18524300000000002,0.214073,0.162468,-0.18954000000000001,0.239141,0.158089,-0.16650299999999998,0.21722600000000003,0.169205,-0.165771,0.235575,0.165257
-0.239181,0.226708,0.186593,-0.232044,0.256356,0.176537,-0.232271,0.321236,0.169991,-0.200571,0.317031,0.15680999999999998,-0.174155,0.316338,0.157013,-0.143083,0.319488,0.174019,-0.14646800000000001,0.258654,0.176306,-0.136944,0.231504,0.18899100000000002,-0.210031,0.215142,0.168343,-0.211756,0.236344,0.165081,-0.185248,0.214061,0.162386,-0.189557,0.239171,0.158128,-0.16652999999999998,0.21725300000000003,0.169179,-0.165821,0.235629,0.165244
-0.23920500000000003,0.22673400000000002,0.186566,-0.232073,0.256385,0.176543,-0.23230100000000004,0.321272,0.170008,-0.200599,0.31709899999999996,0.15682100000000002,-0.174183,0.316368,0.15704200000000001,-0.14310799999999999,0.319511,0.174036,-0.146507,0.258687,0.176321,-0.13697,0.23151599999999997,0.18896300000000002,-0.21006999999999998,0.215164,0.168325,-0.211759,0.23638499999999998,0.165068,-0.18528,0.214079,0.16235,-0.189618,0.239197,0.158099,-0.166579,0.21727800000000003,0.169132,-0.165865,0.23566900000000002,0.165208
-0.239231,0.22673600000000002,0.186567,-0.232107,0.25639,0.17659,-0.23233800000000002,0.321282,0.170037,-0.20061199999999998,0.317108,0.156831,-0.174198,0.316375,0.15704500000000002,-0.143122,0.31951599999999997,0.174038,-0.146511,0.258671,0.176282,-0.136986,0.23151100000000002,0.188935,-0.21009299999999997,0.21516999999999997,0.168303,-0.21177800000000002,0.236395,0.16505799999999998,-0.185339,0.21417600000000003,0.162341,-0.18964,0.239202,0.158089,-0.166595,0.217271,0.169095,-0.165894,0.235673,0.16519
-0.239249,0.22673800000000002,0.18654600000000002,-0.232141,0.256375,0.176587,-0.23235,0.321274,0.17003900000000002,-0.200622,0.317103,0.15683,-0.17421,0.31637,0.157047,-0.143152,0.31951,0.174047,-0.146529,0.25866,0.176283,-0.137004,0.231487,0.188914,-0.21013400000000002,0.21515700000000001,0.16831400000000002,-0.211808,0.236381,0.165056,-0.185377,0.21414,0.16237000000000001,-0.189658,0.239195,0.158085,-0.166653,0.21725500000000003,0.169076,-0.16592,0.23564699999999997,0.165165
-0.23927600000000002,0.226706,0.186576,-0.23215,0.256359,0.17659,-0.232355,0.321253,0.170033,-0.200631,0.31708200000000003,0.156828,-0.174215,0.316349,0.15704100000000001,-0.14315899999999998,0.319483,0.174051,-0.146542,0.258635,0.176281,-0.137022,0.23145300000000002,0.188914,-0.210215,0.215128,0.168294,-0.211829,0.236346,0.165069,-0.185369,0.21411599999999997,0.16226500000000002,-0.189675,0.23917800000000003,0.158081,-0.166671,0.217218,0.16908,-0.165958,0.23562199999999997,0.165153
-0.23929,0.226673,0.18659,-0.232147,0.256313,0.176585,-0.23235799999999998,0.321228,0.170027,-0.200622,0.317008,0.15682100000000002,-0.174216,0.316304,0.156987,-0.14316700000000002,0.319443,0.17405299999999999,-0.146553,0.2586,0.176289,-0.137033,0.231408,0.18893,-0.21023499999999998,0.21509499999999998,0.168311,-0.211839,0.23631799999999997,0.165078,-0.18540299999999998,0.21407600000000002,0.162301,-0.189691,0.23915,0.15804100000000001,-0.166699,0.217175,0.169077,-0.16597699999999999,0.235582,0.165139
